stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.09174639999400824,,0.060207200003787875,0.09174639999400824,0.6091267000010703,0.6091267000010703,0.6174601000093389,0.915195900015533,46.8898571000027,left,-10.0,0,0,46.118169299996225,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
1,1,12.0,46.89920919999713,,46.88996760000009,46.89920919999713,47.40106920001563,47.40106920001563,47.40106920001563,47.70161089999601,50.48485820001224,left,-12.0,1,1,3.074288300005719,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
2,1,11.0,50.499311099993065,,50.48500210000202,50.499311099993065,50.99921540002106,50.99921540002106,50.99921540002106,51.29893640000955,51.43425500000012,right,11.0,1,1,0.42392479997943155,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
3,1,11.0,51.44934550000471,,51.434397500008345,51.44934550000471,51.94891040000948,51.94891040000948,51.94891040000948,52.24871869999333,55.23286420002114,left,-11.0,1,1,3.28034120000666,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
4,1,11.0,55.24807500001043,,55.23299680001219,55.24807500001043,55.74803250000696,55.74803250000696,55.74803250000696,56.0472975000157,56.515317000012146,left,-11.0,1,1,0.7613151999830734,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
5,1,10.0,56.53097650001291,,56.51546039999812,56.53097650001291,57.030468300014036,57.030468300014036,57.030468300014036,57.33320230001118,57.91517330001807,left,-10.0,1,1,0.8773930000024848,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
6,1,10.0,57.93040199999814,,57.915299700020114,57.93040199999814,58.42971510000643,58.42971510000643,58.446448400005465,58.7300623000192,59.24865350002074,left,-10.0,0,0,0.8166095000051428,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
7,1,11.0,59.263299200014444,,59.24879480001982,59.263299200014444,59.76314600001206,59.76314600001206,59.76314600001206,60.062534500000766,60.18154010002036,right,11.0,1,1,0.40595139999641106,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
8,1,11.0,60.196352099999785,,60.18167360001826,60.196352099999785,60.69589580001775,60.69589580001775,60.69589580001775,60.99591120000696,65.69656159999431,left,-11.0,1,1,4.9977158999827225,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
9,0.5,11.0,65.71179620001931,,65.69670150001184,65.71179620001931,66.21088210001471,66.21088210001471,66.21088210001471,66.51060860001598,68.24496949999593,right,11.0,1,1,2.030373999994481,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
