reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
49,60,89,0,0,0,4,0.23073960000328952,,0.030140300004859455,0.23073960000328952,1.0032361000048695,1.0032361000048695,1.2363064000019222,11.41527400000632,l,10.268408099997032,None,663375,001,2024-11-15_11h00.06.964,delay discounting,2024.1.5,None,2024-11-15 11h00.16.907464 +0530,
11,30,7,0,1,1,0,11.442555500005255,,11.41766970000026,11.442555500005255,12.43286690000241,12.43286690000241,12.449205900004017,14.666004300001077,l,2.228223199999775,None,663375,001,2024-11-15_11h00.06.964,delay discounting,2024.1.5,None,2024-11-15 11h00.16.907464 +0530,
15,35,13,0,2,2,1,14.683681700000307,,14.666679699999804,14.683681700000307,15.681450300005963,15.681450300005963,15.69799310000235,18.099005600000964,t,2.404864300006011,None,663375,001,2024-11-15_11h00.06.964,delay discounting,2024.1.5,None,2024-11-15 11h00.16.907464 +0530,
27,50,21,0,3,3,2,18.119790900003863,,18.100077499999315,18.119790900003863,19.113606800005073,19.113606800005073,19.13023310000426,22.74733130000095,t,3.6225282000013976,None,663375,001,2024-11-15_11h00.06.964,delay discounting,2024.1.5,None,2024-11-15 11h00.16.907464 +0530,
78,80,162,0,4,4,6,22.763537099999667,,22.74919360000058,22.763537099999667,23.762204400001792,23.762204400001792,23.7786597000013,27.512675800004217,t,3.739493900000525,None,663375,001,2024-11-15_11h00.06.964,delay discounting,2024.1.5,None,2024-11-15 11h00.16.907464 +0530,
67,75,119,0,5,5,5,27.53037910000421,,27.51419000000169,27.53037910000421,28.5271888999996,28.5271888999996,28.54365940000571,30.32837080000172,t,1.7944114999991143,None,663375,001,2024-11-15_11h00.06.964,delay discounting,2024.1.5,None,2024-11-15 11h00.16.907464 +0530,
40,55,62,0,6,6,3,30.34446410000237,,30.329406500000914,30.34446410000237,31.342713100006222,31.342713100006222,31.359495299999253,33.39430279999942,t,2.0433018000039738,None,663375,001,2024-11-15_11h00.06.964,delay discounting,2024.1.5,None,2024-11-15 11h00.16.907464 +0530,
