Study_word,test_word,References,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
mouse,,,,0,0,0,8,,,,,0.08510969998314977,,0.02635309984907508,0.08510969998314977,0.08510969998314977,2.572236199863255,1.2666666666666666,2.5213389000855386,,,,,,,,,,,,,,,391550,001,2024-11-07_16h17.32.397,word_primimg,2024.1.5,None,2024-11-07 16h17.40.296953 +0530,
cushion,,,,0,1,1,1,,,,,2.601075300015509,,2.572627999819815,2.601075300015509,2.601075300015509,3.791012299945578,1.2666666666666666,1.178564100060612,,,,,,,,,,,,,,,391550,001,2024-11-07_16h17.32.397,word_primimg,2024.1.5,None,2024-11-07 16h17.40.296953 +0530,
marble,,,,0,2,2,3,,,,,3.8343976999167353,,3.791547799948603,3.8343976999167353,3.8343976999167353,5.238181699998677,1.8166666666666667,1.4163181001786143,,,,,,,,,,,,,,,391550,001,2024-11-07_16h17.32.397,word_primimg,2024.1.5,None,2024-11-07 16h17.40.296953 +0530,
board,,,,0,3,3,4,,,,,5.267005299916491,,5.238434499828145,5.267005299916491,5.267005299916491,7.024010199820623,1.0944444444444446,1.7471704999916255,,,,,,,,,,,,,,,391550,001,2024-11-07_16h17.32.397,word_primimg,2024.1.5,None,2024-11-07 16h17.40.296953 +0530,
book,,,,0,4,4,0,,,,,7.067135300021619,,7.024556499905884,7.067135300021619,7.067135300021619,8.373397799907252,1.0666666666666667,1.3032559000421315,,,,,,,,,,,,,,,391550,001,2024-11-07_16h17.32.397,word_primimg,2024.1.5,None,2024-11-07 16h17.40.296953 +0530,
Pastry,,,,0,5,5,9,,,,,8.415947699919343,,8.373970499960706,8.415947699919343,8.415947699919343,9.570158499991521,1.0666666666666667,1.1646966999396682,,,,,,,,,,,,,,,391550,001,2024-11-07_16h17.32.397,word_primimg,2024.1.5,None,2024-11-07 16h17.40.296953 +0530,
Keys,,,,0,6,6,13,,,,,9.59866079990752,,9.570441199932247,9.59866079990752,9.59866079990752,11.40575429983437,1.1,1.7982056001201272,,,,,,,,,,,,,,,391550,001,2024-11-07_16h17.32.397,word_primimg,2024.1.5,None,2024-11-07 16h17.40.296953 +0530,
Laptop,,,,0,7,7,5,,,,,11.449250599835068,,11.40633049979806,11.449250599835068,11.449250599835068,13.185045999940485,1.1,1.7447965999599546,,,,,,,,,,,,,,,391550,001,2024-11-07_16h17.32.397,word_primimg,2024.1.5,None,2024-11-07 16h17.40.296953 +0530,
T-shirt,,,,0,8,8,7,,,,,13.214205999858677,,13.185392499901354,13.214205999858677,13.214205999858677,15.270718900021166,1.0722222222222222,2.044733499875292,,,,,,,,,,,,,,,391550,001,2024-11-07_16h17.32.397,word_primimg,2024.1.5,None,2024-11-07 16h17.40.296953 +0530,
Cruise,,,,0,9,9,11,,,,,15.31371369981207,,15.271311999997124,15.31371369981207,15.31371369981207,17.454226499889046,2.3,2.135370400035754,,,,,,,,,,,,,,,391550,001,2024-11-07_16h17.32.397,word_primimg,2024.1.5,None,2024-11-07 16h17.40.296953 +0530,
Case,,,,0,10,10,10,,,,,17.499115699902177,,17.454890199936926,17.499115699902177,17.499115699902177,18.88341909996234,1.961111111111111,1.3987371001858264,,,,,,,,,,,,,,,391550,001,2024-11-07_16h17.32.397,word_primimg,2024.1.5,None,2024-11-07 16h17.40.296953 +0530,
phone,,,,0,11,11,2,,,,,18.911900899838656,,18.88365689991042,18.911900899838656,18.911900899838656,21.50198920001276,1.038888888888889,2.5817708000540733,,,,,,,,,,,,,,,391550,001,2024-11-07_16h17.32.397,word_primimg,2024.1.5,None,2024-11-07 16h17.40.296953 +0530,
