Study_word,test_word,References,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
phone,,,,0,0,0,2,,,,,0.15472789999330416,,0.04936150000139605,0.15472789999330416,0.15472789999330416,6.291861899997457,1.0722222222222222,6.210656099996413,,,,,,,,,,,,,,,996996,001,2024-10-25_12h18.57.894,untitled,2024.1.5,None,2024-10-25 12h19.04.682892 +0530,
Cruise,,,,0,1,1,11,,,,,6.320678599993698,,6.2922187999938615,6.320678599993698,6.320678599993698,7.307734899994102,1.0722222222222222,0.9922366999962833,,,,,,,,,,,,,,,996996,001,2024-10-25_12h18.57.894,untitled,2024.1.5,None,2024-10-25 12h19.04.682892 +0530,
board,,,,0,2,2,4,,,,,7.337003699998604,,7.30794369999785,7.337003699998604,7.337003699998604,7.7741081999993185,1.0722222222222222,0.4435273999988567,,,,,,,,,,,,,,,996996,001,2024-10-25_12h18.57.894,untitled,2024.1.5,None,2024-10-25 12h19.04.682892 +0530,
marble,,,,0,3,3,3,,,,,7.803401199998916,,7.774318199997651,7.803401199998916,7.803401199998916,8.257186599992565,1.0722222222222222,0.46233929999289103,,,,,,,,,,,,,,,996996,001,2024-10-25_12h18.57.894,untitled,2024.1.5,None,2024-10-25 12h19.04.682892 +0530,
Chart,,,,0,4,4,6,,,,,8.286881899999571,,8.257394200001727,8.286881899999571,8.286881899999571,8.840008500003023,1.0722222222222222,0.5624245999933919,,,,,,,,,,,,,,,996996,001,2024-10-25_12h18.57.894,untitled,2024.1.5,None,2024-10-25 12h19.04.682892 +0530,
book,,,,0,5,5,0,,,,,8.869985500001349,,8.84021959999518,8.869985500001349,8.869985500001349,9.356706499995198,1.0722222222222222,0.49614740000106394,,,,,,,,,,,,,,,996996,001,2024-10-25_12h18.57.894,untitled,2024.1.5,None,2024-10-25 12h19.04.682892 +0530,
Case,,,,0,6,6,10,,,,,9.386243000000832,,9.35691560000123,9.386243000000832,9.386243000000832,9.839878899991163,1.0722222222222222,0.46249730000272393,,,,,,,,,,,,,,,996996,001,2024-10-25_12h18.57.894,untitled,2024.1.5,None,2024-10-25 12h19.04.682892 +0530,
Pastry,,,,0,7,7,9,,,,,9.869467399999849,,9.840088999990257,9.869467399999849,9.869467399999849,10.339548100004322,1.0722222222222222,0.4774078000045847,,,,,,,,,,,,,,,996996,001,2024-10-25_12h18.57.894,untitled,2024.1.5,None,2024-10-25 12h19.04.682892 +0530,
Keys,,,,0,8,8,13,,,,,10.369236899990938,,10.339754300002824,10.369236899990938,10.369236899990938,10.772716699997545,1.0722222222222222,0.4118730000045616,,,,,,,,,,,,,,,996996,001,2024-10-25_12h18.57.894,untitled,2024.1.5,None,2024-10-25 12h19.04.682892 +0530,
cushion,,,,0,9,9,1,,,,,10.802226999992854,,10.772925700002816,10.802226999992854,10.802226999992854,11.239640100000543,1.0722222222222222,0.44635919999564067,,,,,,,,,,,,,,,996996,001,2024-10-25_12h18.57.894,untitled,2024.1.5,None,2024-10-25 12h19.04.682892 +0530,
