Study_word,test_word,References,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
T-shirt,,,,0,10,10,7,,,,,11.269081099992036,,11.239847599994391,11.269081099992036,11.269081099992036,11.722807700003614,1.0722222222222222,0.46009480000066105,,,,,,,,,,,,,,,996996,001,2024-10-25_12h18.57.894,untitled,2024.1.5,None,2024-10-25 12h19.04.682892 +0530,
mouse,,,,0,11,11,8,,,,,11.752078099991195,,11.72302099999797,11.752078099991195,11.752078099991195,12.189115200002561,1.0722222222222222,0.44525949998933356,,,,,,,,,,,,,,,996996,001,2024-10-25_12h18.57.894,untitled,2024.1.5,None,2024-10-25 12h19.04.682892 +0530,
Poster,,,,0,12,12,14,,,,,12.218731899993145,,12.189332199995988,12.218731899993145,12.218731899993145,12.639058799992199,1.0722222222222222,0.4293742000008933,,,,,,,,,,,,,,,996996,001,2024-10-25_12h18.57.894,untitled,2024.1.5,None,2024-10-25 12h19.04.682892 +0530,
Police,,,,0,13,13,12,,,,,12.668831499991938,,12.639263599994592,12.668831499991938,12.668831499991938,13.089966999992612,1.0722222222222222,0.4284138999937568,,,,,,,,,,,,,,,996996,001,2024-10-25_12h18.57.894,untitled,2024.1.5,None,2024-10-25 12h19.04.682892 +0530,
Laptop,,,,0,14,14,5,,,,,13.118571200000588,,13.090243500002543,13.118571200000588,13.118571200000588,13.538503899995703,1.0722222222222222,0.426200300003984,,,,,,,,,,,,,,,996996,001,2024-10-25_12h18.57.894,untitled,2024.1.5,None,2024-10-25 12h19.04.682892 +0530,
,P_as_tr_,Pastry,old,,,,,0,0,0,4,13.568424500001129,,,,,,,,13.543684699994628,13.568424500001129,13.568424500001129,13.568424500001129,0.008270899998024106,23.549778699991293,"pastry
",[-0.48194444444444445],[-0.29583333333333334],[1],[0],[0],[0.20678930000576656],[],996996,001,2024-10-25_12h18.57.894,untitled,2024.1.5,None,2024-10-25 12h19.04.682892 +0530,
,c_s_io_,Cushion,old,,,,,0,1,1,14,23.566468099990743,,,,,,,,23.55068420000316,23.566468099990743,23.566468099990743,23.566468099990743,0.013821599990478717,23.618116700003156,,[0.018055555555555554],[-0.3138888888888889],[1],[0],[0],[0.06511120000504889],['text_3'],996996,001,2024-10-25_12h18.57.894,untitled,2024.1.5,None,2024-10-25 12h19.04.682892 +0530,
,_o_rd,Board,old,,,,,0,2,2,10,23.63296380000247,,,,,,,,23.618544500001008,23.63296380000247,23.63296380000247,23.63296380000247,0.0017146000027423725,32.88004989999172,board,"[0.0375, 0.0375, 0.0375, 0.004166666666666667]","[-0.1375, -0.1375, -0.1375, -0.275]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[7.34401399998751, 7.910049699989031, 8.493206499988446, 9.259342099991045]",['text_3'],996996,001,2024-10-25_12h18.57.894,untitled,2024.1.5,None,2024-10-25 12h19.04.682892 +0530,
,_ou_se,mouse,old,,,,,0,3,3,3,32.895928800004185,,,,,,,,32.880587799998466,32.895928800004185,32.895928800004185,32.895928800004185,0.002083999992464669,37.42980709999392,mouse,[0.008333333333333333],[-0.3013888888888889],[1],[0],[0],[4.546693800002686],['text_3'],996996,001,2024-10-25_12h18.57.894,untitled,2024.1.5,None,2024-10-25 12h19.04.682892 +0530,
,T_hi_t,Tshirt,old,,,,,0,4,4,2,37.444197999997414,,,,,,,,37.43035009999585,37.444197999997414,37.444197999997414,37.444197999997414,0.001820000004954636,42.0949641999905,tshirt,[0.008333333333333333],[-0.3013888888888889],[1],[0],[0],[4.66229839999869],['text_3'],996996,001,2024-10-25_12h18.57.894,untitled,2024.1.5,None,2024-10-25 12h19.04.682892 +0530,
,_ha_t,Chart,old,,,,,0,5,5,1,42.1092340000032,,,,,,,,42.09538729999622,42.1092340000032,42.1092340000032,42.1092340000032,0.0020117999956710264,52.1062677000009,cha,[],[],[],[],[],[],[],996996,001,2024-10-25_12h18.57.894,untitled,2024.1.5,None,2024-10-25 12h19.04.682892 +0530,
,_oo_,Book,old,,,,,0,6,6,13,52.122778299992206,,,,,,,,52.10680120000325,52.122778299992206,52.122778299992206,52.122778299992206,0.013489999997545965,57.4383480999968,book,[0.041666666666666664],[-0.30694444444444446],[1],[0],[0],[5.328869200006011],['text_3'],996996,001,2024-10-25_12h18.57.894,untitled,2024.1.5,None,2024-10-25 12h19.04.682892 +0530,
,_ho_e,Phone,old,,,,,0,7,7,12,57.454149099998176,,,,,,,,57.43888679999509,57.454149099998176,57.454149099998176,57.454149099998176,0.0020321999909356236,67.45110619999468,chi,[],[],[],[],[],[],[],996996,001,2024-10-25_12h18.57.894,untitled,2024.1.5,None,2024-10-25 12h19.04.682892 +0530,
,K_y_,Keys,old,,,,,0,8,8,8,67.46747129999858,,,,,,,,67.45155800000066,67.46747129999858,67.46747129999858,67.46747129999858,0.014406699992832728,72.333369400003,keys,[0.041666666666666664],[-0.30694444444444446],[1],[0],[0],[4.879416499999934],['text_3'],996996,001,2024-10-25_12h18.57.894,untitled,2024.1.5,None,2024-10-25 12h19.04.682892 +0530,
,P_li_e,Police,old,,,,,0,9,9,7,72.34874149999814,,,,,,,,72.3342002999998,72.34874149999814,72.34874149999814,72.34874149999814,0.0029015000036451966,78.8145072000043,police,[0.041666666666666664],[-0.30694444444444446],[1],[0],[0],[6.477047499996843],['text_3'],996996,001,2024-10-25_12h18.57.894,untitled,2024.1.5,None,2024-10-25 12h19.04.682892 +0530,
,l_pt_p,Laptop,old,,,,,0,10,10,0,78.83012210000015,,,,,,,,78.8149468999909,78.83012210000015,78.83012210000015,78.83012210000015,0.0018797999946400523,82.29701409999689,laptop,[0.041666666666666664],[-0.30694444444444446],[1],[0],[0],[3.4796235999965575],['text_3'],996996,001,2024-10-25_12h18.57.894,untitled,2024.1.5,None,2024-10-25 12h19.04.682892 +0530,
,bo_t_e,Bottle,new,,,,,0,11,11,18,82.31268489999638,,,,,,,,82.29744589999609,82.31268489999638,82.31268489999638,82.31268489999638,0.001796299999114126,85.42922239999461,bottle,[0.041666666666666664],[-0.30694444444444446],[1],[0],[0],[3.1294371000112733],['text_3'],996996,001,2024-10-25_12h18.57.894,untitled,2024.1.5,None,2024-10-25 12h19.04.682892 +0530,
,p_nc_l,Pencil,new,,,,,0,12,12,16,85.44448530000227,,,,,,,,85.4296539999923,85.44448530000227,85.44448530000227,85.44448530000227,0.0017779000045266002,89.51061859999027,pencil,[0.041666666666666664],[-0.30694444444444446],[1],[0],[0],[4.078691799993976],['text_3'],996996,001,2024-10-25_12h18.57.894,untitled,2024.1.5,None,2024-10-25 12h19.04.682892 +0530,
,P_st_r,Poster,old,,,,,0,13,13,9,89.52648780000163,,,,,,,,89.51115710000158,89.52648780000163,89.52648780000163,89.52648780000163,0.002186400000937283,95.79234889999498,poster,[0.041666666666666664],[-0.30694444444444446],[1],[0],[0],[6.278389999992214],['text_3'],996996,001,2024-10-25_12h18.57.894,untitled,2024.1.5,None,2024-10-25 12h19.04.682892 +0530,
,v_s_,Vase,new,,,,,0,14,14,17,95.82534969999688,,,,,,,,95.79300979999243,95.82534969999688,95.82534969999688,95.82534969999688,0.006385099986800924,98.80760509999527,vase,[0.041666666666666664],[-0.30694444444444446],[1],[0],[0],[3.0077459000021918],['text_3'],996996,001,2024-10-25_12h18.57.894,untitled,2024.1.5,None,2024-10-25 12h19.04.682892 +0530,
,c_s_,Case,old,,,,,0,15,15,5,98.8232629999984,,,,,,,,98.80804089999583,98.8232629999984,98.8232629999984,98.8232629999984,0.001673899998422712,105.67216210000333,case,[0.041666666666666664],[-0.30694444444444446],[1],[0],[0],[6.861940200004028],['text_3'],996996,001,2024-10-25_12h18.57.894,untitled,2024.1.5,None,2024-10-25 12h19.04.682892 +0530,
,ta_l_,Table,new,,,,,0,16,16,15,105.68772719999833,,,,,,,,105.67258820000279,105.68772719999833,105.68772719999833,105.68772719999833,0.0017363999941153452,109.05430550000165,table,[0.041666666666666664],[-0.30694444444444446],[1],[0],[0],[3.3795029999891995],['text_3'],996996,001,2024-10-25_12h18.57.894,untitled,2024.1.5,None,2024-10-25 12h19.04.682892 +0530,
,_ru_is_,Cruise,old,,,,,0,17,17,6,109.07019509999373,,,,,,,,109.05472970000119,109.07019509999373,109.07019509999373,109.07019509999373,0.0018188000103691593,113.38599059999979,cruise,[0.041666666666666664],[-0.30694444444444446],[1],[0],[0],[4.328957699995954],['text_3'],996996,001,2024-10-25_12h18.57.894,untitled,2024.1.5,None,2024-10-25 12h19.04.682892 +0530,
,_a_bl_,Marble,old,,,,,0,18,18,11,113.40160189999733,,,,,,,,113.38642889999028,113.40160189999733,113.40160189999733,113.40160189999733,0.0018376999942120165,116.35181900000316,table,[0.041666666666666664],[-0.30694444444444446],[1],[0],[0],[2.9630570000008447],['text_3'],996996,001,2024-10-25_12h18.57.894,untitled,2024.1.5,None,2024-10-25 12h19.04.682892 +0530,
,c_m_ra,Camera,new,,,,,0,19,19,19,116.36732469999697,,,,,,,,116.35225480000372,116.36732469999697,116.36732469999697,116.36732469999697,0.0018183000065619126,120.01700510000228,camera,[0.041666666666666664],[-0.30694444444444446],[1],[0],[0],[3.6623575999983586],['text_3'],996996,001,2024-10-25_12h18.57.894,untitled,2024.1.5,None,2024-10-25 12h19.04.682892 +0530,
