pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,0,,,,,0.0414215000346303,,0.029437800054438412,0.0414215000346303,1.0055401000427082,1.0055401000427082,1.0055401000427082,1.0055401000427082,1.049910100060515,2.015903100022115,2.015903100022115,3.0737443000543863,x,1,0.953945399960503,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
150,v,0,1,1,1,,,,,3.0829208000795916,,3.0757295000366867,3.0829208000795916,4.08249640010763,4.08249640010763,4.08249640010763,4.08249640010763,4.08249640010763,5.081625700113364,5.081625700113364,6.250150800100528,v,1,1.163095699972473,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
50,c,0,2,2,2,,,,,6.267288200091571,,6.251748700044118,6.267288200091571,7.250934700015932,7.250934700015932,7.250934700015932,7.250934700015932,7.2641974000725895,8.263692400068976,8.263692400068976,9.083046800107695,c,1,0.8150515999877825,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
-150,z,0,3,3,3,,,,,9.100153700099327,,9.085267400019802,9.100153700099327,10.083270900067873,10.083270900067873,10.083270900067873,10.083270900067873,10.096740800072439,11.096369900042191,11.096369900042191,11.43206890008878,z,1,0.32930330000817776,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
-50,x,1,0,4,0,,,,,11.448885100078769,,11.434140300028957,11.448885100078769,12.445976300048642,12.445976300048642,12.445976300048642,12.445976300048642,12.445976300048642,13.445387600106187,13.445387600106187,13.931074000080116,x,1,0.47442169999703765,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
150,v,1,1,5,1,,,,,13.948159800027497,,13.932372100069188,13.948159800027497,14.931540900026448,14.931540900026448,14.931540900026448,14.931540900026448,14.94520780001767,15.944376300089061,15.944376300089061,16.846106400014833,b,0,0.889598699985072,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
50,c,1,2,6,2,,,,,16.863613300025463,,16.84764510008972,16.863613300025463,17.847523700096644,17.847523700096644,17.847523700096644,17.847523700096644,17.860666000051424,18.860174100031145,18.860174100031145,19.611558800097555,c,1,0.748274700017646,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
-150,z,1,3,7,3,,,,,19.62968470004853,,19.612924400018528,19.62968470004853,20.614228500053287,20.614228500053287,20.614228500053287,20.614228500053287,20.626814900082536,21.62641780008562,21.62641780008562,22.044492800021544,z,1,0.4033638999098912,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
-50,x,2,0,8,0,,,,,22.061609100084752,,22.045783100067638,22.061609100084752,23.047420000075363,23.047420000075363,23.047420000075363,23.047420000075363,23.059023300069384,24.0583203000715,24.0583203000715,25.359918900066987,x,1,1.290098899975419,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
150,v,2,1,9,1,,,,,25.378114100079983,,25.36133070010692,25.378114100079983,26.360397100099362,26.360397100099362,26.360397100099362,26.360397100099362,26.39098600007128,27.375431400025263,27.375431400025263,28.392165000084788,v,1,1.0070312999887392,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
50,c,2,2,10,2,,,,,28.40958950005006,,28.393874900066294,28.40958950005006,29.39621680008713,29.39621680008713,29.39621680008713,29.39621680008713,29.407655500108376,30.40610500006005,30.40610500006005,30.94132520002313,c,1,0.522138400003314,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
-150,z,2,3,11,3,,,,,30.95870970003307,,30.942754800082184,30.95870970003307,31.942458600038663,31.942458600038663,31.942458600038663,31.942458600038663,31.955833500018343,32.9556670000311,32.9556670000311,33.707168900058605,z,1,0.736705300048925,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
-50,x,3,0,12,0,,,,,33.72471730003599,,33.70877000002656,33.72471730003599,34.707827700069174,34.707827700069174,34.707827700069174,34.707827700069174,34.72171330009587,35.721353300032206,35.721353300032206,36.489321700064465,x,1,0.7567470000358298,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
150,v,3,1,13,1,,,,,36.50685770006385,,36.49083220004104,36.50685770006385,37.49136010010261,37.49136010010261,37.49136010010261,37.49136010010261,37.50415880000219,38.50364480004646,38.50364480004646,38.90486820007209,v,1,0.3842657000059262,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
