key_resp.corr,key_resp.rt,,seqRT,ranRT,,,,,
1,3.3074996,,3.3074996,0.2009485,,,,,
1,5.5022115,,5.5022115,0.7977455,,,,,
1,0.7639253,,0.7639253,0.5826308,,,,,
1,0.8319758,,0.8319758,0.5588314,,,,,
1,0.7002944,,0.7002944,1.037939,,,,,
1,0.8677072,,0.8677072,0.6883471,,,,,
1,0.7289003,,0.7289003,0.648722,,,,,
1,0.6939423,,0.6939423,0.8068705,,,,,
1,0.7230081,,0.7230081,0.6610364,,,,,
1,0.7872707,,0.7872707,0.6429678,,,,,
1,0.7123028,,0.7123028,0.3775179,,,,,
1,0.7154272,,0.7154272,0.3744908,,,,,
1,0.9293647,,0.9293647,0.7355933,,,,,
1,1.3182976,,1.3182976,0.6006131,,,,,
1,1.0197364,,1.0197364,0.8435367,,,,,
1,1.3172358,,1.3172358,0.8442975,,,,,
1,0.6792489,,0.6792489,0.6600629,,average of sequential RT ,,,0.826234042
1,1.2760595,,1.2760595,0.8015894,,average of random RT ,,,0.831346707
1,0.743198,,0.743198,2.292274,,,,,
1,0.8145048,,0.8145048,0.8326696,,mean difference in the RT,,,0.005112666
1,0.5073887,,0.5073887,0.7382367,,,,,
1,0.8007793,,0.8007793,0.7120265,,,,,
1,1.0508393,,1.0508393,0.5510119,,,,,
1,1.1654771,,1.1654771,0.8043862,,,,,
1,0.8450175,,0.8450175,0.730017,,,,,
1,0.9223904,,0.9223904,0.6623015,,,,,
1,0.9048815,,0.9048815,1.7122381,,,,,
1,0.8010904,,0.8010904,1.300238,,,,,
1,0.7247027,,0.7247027,0.9083601,,,,,
1,1.1726928,,1.1726928,0.4762295,,,,,
1,0.7006221,,0.7006221,1.1913712,,,,,
1,1.1633688,,1.1633688,0.5202713,,,,,
1,0.6987846,,0.6987846,1.0500883,,,,,
1,0.7785969,,0.7785969,0.4460456,,,,,
1,1.340116,,1.340116,0.8597577,,,,,
1,0.6662017,,0.6662017,0.64421,,,,,
1,1.0346801,,1.0346801,0.6487093,,,,,
1,0.7108308,,0.7108308,1.8551454,,,,,
1,1.109535,,1.109535,0.9830526,,,,,
1,0.5728842,,0.5728842,0.6643375,,,,,
1,0.6341751,,0.6341751,1.0670304,,,,,
1,0.6383895,,0.6383895,1.1873183,,,,,
1,0.8229341,,0.8229341,0.797557,,,,,
1,0.6392708,,0.6392708,0.7416253,,,,,
1,0.3649869,,0.3649869,0.6676057,,,,,
1,0.7174301,,0.7174301,0.5919556,,,,,
1,0.7785974,,0.7785974,0.677399,,,,,
1,0.3704447,,0.3704447,0.7536011,,,,,
1,0.3320843,,0.3320843,1.5042701,,,,,
