trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.026377500005764887,,0.020134300000790972,0.026377500005764887,1.0685939000031794,1.071290300002147,2.2212209999997867,up,1,1.1288272999954643,None,0,608675,001,2024-09-13_11h34.26.459,signal detection,2024.1.5,None,2024-09-13 11h34.32.844790 +0530,
1,0,1,0,2.230596500005049,,2.2227596000011545,2.230596500005049,3.228204500002903,3.228204500002903,4.013636300005601,up,0,0.7807638000012957,None,-1,608675,001,2024-09-13_11h34.26.459,signal detection,2024.1.5,None,2024-09-13 11h34.32.844790 +0530,
2,0,2,0,4.030522300003213,,4.015681000004406,4.030522300003213,5.0277153000060935,5.0277153000060935,5.629839600005653,up,0,0.5933666999990237,None,-1,608675,001,2024-09-13_11h34.26.459,signal detection,2024.1.5,None,2024-09-13 11h34.32.844790 +0530,
3,0,3,0,5.646746099999291,,5.631803399999626,5.646746099999291,6.644000300002517,6.644000300002517,7.229121299998951,down,0,0.5791265000007115,None,0,608675,001,2024-09-13_11h34.26.459,signal detection,2024.1.5,None,2024-09-13 11h34.32.844790 +0530,
4,0,4,0,7.246131899999455,,7.23103980000451,7.246131899999455,8.243505999998888,8.243505999998888,9.244935599999735,up,0,0.9849975000033737,None,1,608675,001,2024-09-13_11h34.26.459,signal detection,2024.1.5,None,2024-09-13 11h34.32.844790 +0530,
5,0,5,0,9.261887100001331,,9.24667930000578,9.261887100001331,10.25953809999919,10.25953809999919,10.894472200001474,down,1,0.6271963000035612,None,4,608675,001,2024-09-13_11h34.26.459,signal detection,2024.1.5,None,2024-09-13 11h34.32.844790 +0530,
6,0,6,0,10.911333900003228,,10.896580300002825,10.911333900003228,11.908913800005394,11.908913800005394,12.517382400001225,up,0,0.5943688999977894,None,2,608675,001,2024-09-13_11h34.26.459,signal detection,2024.1.5,None,2024-09-13 11h34.32.844790 +0530,
7,0,7,0,12.527317200001562,,12.519302100001369,12.527317200001562,13.524692600003618,13.524692600003618,14.126165200003015,down,1,0.5949372999966727,None,3,608675,001,2024-09-13_11h34.26.459,signal detection,2024.1.5,None,2024-09-13 11h34.32.844790 +0530,
8,0,8,0,14.14377930000046,,14.127804800002195,14.14377930000046,15.126650400001381,15.14108820000547,15.742874700001266,down,1,0.6048458999939612,None,3,608675,001,2024-09-13_11h34.26.459,signal detection,2024.1.5,None,2024-09-13 11h34.32.844790 +0530,
9,0,9,0,15.760349500000302,,15.74491630000557,15.760349500000302,16.757191700002295,16.757191700002295,17.35894090000511,up,0,0.5942408999981126,None,-5,608675,001,2024-09-13_11h34.26.459,signal detection,2024.1.5,None,2024-09-13 11h34.32.844790 +0530,
