num_distr,mouse.time,,,,,,,,,,,
10,2.6075488,,,,y1,ms,,,,,,
10,3.9992162,,y1,mean rt 5,2.617664574,2617,x1,5,,,y1,y2
10,3.5567611,,,,,,,,,,2617,2621
10,3.3691978,,,,,,,,,,,
5,3.1853149,,,,,,,,,,,
5,2.3558515,,,,,,,,,,,
10,2.9037645,,,,,,,,,,,
5,2.0561284,,,,y2,,,,,,,
10,1.6153815,,y2,mean rt 10,2.621253133,2621,x2,10,,,,
10,1.163248,,,,,,,,,,,
10,3.345942,,,,,,,m slope,0.8,,,
5,2.4157799,,,,,,,,,,,
5,3.2789437,,,,,,,,,,,
10,2.926905,,,,,,,,,,,
5,2.0275036,,,,,,,,,,,
10,4.178239,,,,,,,,,,,
5,2.0780868,,,,,,,,,,,
10,1.8504995,,,,,,,,,,,
10,2.0238855,,,,,,,,,,,
10,2.9742454,,,,,,,,,,,
5,2.2378284,,,,,,,,,,,
10,1.7321249,,,,,,,,,,,
10,1.7654752,,,,,,,,,,,
10,1.860402,,,,,,,,,,,
10,2.475938,,,,,,,,,,,
5,2.0119052,,,,,,,,,,,
5,2.3150463,,,,,,,,,,,
5,1.5160649,,,,,,,,,,,
10,2.4668953,,,,,,,,,,,
5,2.0533519,,,,,,,,,,,
5,2.3840993,,,,,,,,,,,
5,2.2519721,,,,,,,,,,,
5,9.2791214,,,,,,,,,,,
5,1.8470105,,,,,,,,,,,
10,9.2812462,,,,,,,,,,,
10,1.8754487,,,,,,,,,,,
10,1.9266444,,,,,,,,,,,
5,2.4194312,,,,,,,,,,,
5,1.8236419,,,,,,,,,,,
10,2.0633967,,,,,,,,,,,
5,3.7225077,,,,,,,,,,,
5,2.3245971,,,,,,,,,,,
10,2.4484213,,,,,,,,,,,
5,3.6084106,,,,,,,,,,,
5,1.868747,,,,,,,,,,,
5,1.7367399,,,,,,,,,,,
10,2.3221246,,,,,,,,,,,
5,1.8978239,,,,,,,,,,,
10,2.3271564,,,,,,,,,,,
5,2.5468584,,,,,,,,,,,
10,6.1017334,,,,,,,,,,,
5,1.9986076,,,,,,,,,,,
5,2.3735632,,,,,,,,,,,
5,1.7284035,,,,,,,,,,,
10,1.8852586,,,,,,,,,,,
10,1.9797984,,,,,,,,,,,
10,1.2849357,,,,,,,,,,,
5,2.0224414,,,,,,,,,,,
5,3.620576,,,,,,,,,,,
10,2.8883061,,,,,,,,,,,
10,2.2684192,,,,,,,,,,,
10,1.4790034,,,,,,,,,,,
5,1.811779,,,,,,,,,,,
5,3.8285147,,,,,,,,,,,
10,2.6053326,,,,,,,,,,,
10,2.9205469,,,,,,,,,,,
10,2.2663208,,,,,,,,,,,
5,2.1968522,,,,,,,,,,,
5,1.9315023,,,,,,,,,,,
10,7.1653572,,,,,,,,,,,
10,2.5915067,,,,,,,,,,,
10,2.4511288,,,,,,,,,,,
5,4.1756359,,,,,,,,,,,
10,2.4315652,,,,,,,,,,,
10,3.1176083,,,,,,,,,,,
10,2.8291847,,,,,,,,,,,
5,2.7959539,,,,,,,,,,,
10,2.1737578,,,,,,,,,,,
5,4.4802223,,,,,,,,,,,
