trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.07330499999807216,,0.008321700006490573,10,0.07330499999807216,0.07330499999807216,0.044567300006747246,1.0745788000058383,2.7089876999962144,[-0.475],[0.16833333333333333],[1],[0],[0],[2.6631269000063185],['target'],598597,001,2024-10-04_10h23.54.881,visualsearch,2024.1.5,None,2024-10-04 10h23.59.727292 +0530,
1,0,1,0,2.7561488000210375,,2.711008300015237,5,2.7561488000210375,2.7561488000210375,0.029551699990406632,3.756895500002429,5.707904700015206,[0.42833333333333334],[-0.06166666666666667],[1],[0],[0],[2.967138999985764],['target'],598597,001,2024-10-04_10h23.54.881,visualsearch,2024.1.5,None,2024-10-04 10h23.59.727292 +0530,
2,0,2,0,5.771088000008604,,5.709117999998853,10,5.771088000008604,5.771088000008604,0.034838999999919906,6.80435469999793,8.2906441000232,[-0.31833333333333336],[-0.14],[1],[0],[0],[2.546102599997539],['target'],598597,001,2024-10-04_10h23.54.881,visualsearch,2024.1.5,None,2024-10-04 10h23.59.727292 +0530,
3,0,3,0,8.354087500018068,,8.292120199999772,5,8.354087500018068,8.354087500018068,0.03172870000707917,9.355258199997479,10.156552500004182,[0.08166666666666667],[0.018333333333333333],[1],[0],[0],[1.8323646000062581],['target'],598597,001,2024-10-04_10h23.54.881,visualsearch,2024.1.5,None,2024-10-04 10h23.59.727292 +0530,
4,0,4,0,10.203963400010252,,10.157850600022357,5,10.203963400010252,10.203963400010252,0.022211900010006502,11.203918400016846,12.388346000021556,[-0.315],[0.345],[1],[0],[0],[2.208149800018873],['target'],598597,001,2024-10-04_10h23.54.881,visualsearch,2024.1.5,None,2024-10-04 10h23.59.727292 +0530,
